10000 224
20000 604
30000 995
40000 872
50000 1058
60000 1293
70000 1454
80000 2279
90000 2401
100000 2599
110000 2765
120000 2983
130000 3392
140000 3597
150000 3920
160000 3628
170000 4055
180000 3659
190000 3939
200000 4263
210000 4465
220000 4672
230000 4664
240000 5284
250000 5355
260000 5399
270000 6092
280000 7479
290000 5996
300000 6204
310000 6268
320000 8222
330000 8346
340000 7820
350000 7783
360000 7287
370000 8094
380000 8133
390000 8050
400000 8503
410000 9123
420000 9188
430000 9121
440000 11698
450000 11066
460000 9786
470000 14708
480000 10780
490000 10274
500000 10509
510000 12380
520000 13298
530000 11080
540000 11199
550000 11182
560000 13529
570000 16297
580000 16282
590000 21279
600000 23506
610000 24008
620000 20915
630000 24642
640000 21071
650000 21546
660000 26474
670000 22483
680000 26289
690000 26613
700000 23529
710000 23338
720000 25502
730000 24802
740000 28186
750000 29281
760000 31078
770000 31954
780000 33207
790000 30006
800000 29435
810000 28178
820000 29414
830000 28089
840000 29270
850000 29845
860000 31733
870000 29815
880000 36066
890000 35493
900000 33536
910000 35473
920000 30755
930000 35996
940000 32504
950000 38329
960000 35620
970000 31961
980000 33203
990000 40199
1000000 36553
