10000 250
20000 551
30000 849
40000 1156
50000 1479
60000 1748
70000 2070
80000 2371
90000 2657
100000 2937
110000 3244
120000 3549
130000 3840
140000 4136
150000 4411
160000 4587
170000 5303
180000 5292
190000 5463
200000 6639
210000 6222
220000 6539
230000 6768
240000 7468
250000 7795
260000 8884
270000 8366
280000 8786
290000 9218
300000 9554
310000 9484
320000 10437
330000 10665
340000 10667
350000 12122
360000 12324
370000 12323
380000 13126
390000 14354
400000 14152
410000 13862
420000 14790
430000 15825
440000 16510
450000 16217
460000 17883
470000 17391
480000 17922
490000 17730
500000 16772
510000 19276
520000 17921
530000 18034
540000 19877
550000 20113
560000 19875
570000 22461
580000 27274
590000 27679
600000 27216
610000 27632
620000 33085
630000 28385
640000 31332
650000 27916
660000 28638
670000 29684
680000 32947
690000 31345
700000 31196
710000 30323
720000 31648
730000 32094
740000 32072
750000 32721
760000 32146
770000 33120
780000 34255
790000 34264
800000 36245
810000 36050
820000 35764
830000 34647
840000 35926
850000 37506
860000 36394
870000 37944
880000 39334
890000 39407
900000 38996
910000 39526
920000 40213
930000 42310
940000 42464
950000 42711
960000 50656
970000 71312
980000 55055
990000 45491
1000000 58071
